var,block,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
gpt5_open_boundary_openness,1,34,"0.00 [0.00, 0.30]",34,"0.30 [0.20, 0.50]",235.5,0.80,6.58x10-5***
gpt5_open_boundary_openness,2,34,"0.40 [0.20, 0.67]",40,"0.30 [0.20, 0.40]",861.5,0.63,0.07+
gpt5_open_boundary_openness,3,37,"0.30 [0.20, 0.50]",37,"0.40 [0.30, 0.50]",560,0.59,0.21
gpt5_open_boundary_openness,4,36,"0.15 [0.00, 0.30]",41,"0.40 [0.30, 0.50]",276.5,0.81,6.91x10-6***
gpt5_open_boundary_openness,5,40,"0.20 [0.00, 0.30]",46,"0.40 [0.30, 0.50]",352.5,0.81,2.83x10-6***
gpt5_breath_self_regulation,1,34,"0.00 [0.00, 0.00]",34,"0.00 [0.00, 0.10]",390,0.66,7.57x10-3**
gpt5_breath_self_regulation,2,34,"0.00 [0.00, 0.00]",40,"0.05 [0.00, 0.38]",417,0.69,2.04x10-3**
gpt5_breath_self_regulation,3,37,"0.00 [0.00, 0.00]",37,"0.00 [0.00, 0.10]",515,0.62,0.03*
gpt5_breath_self_regulation,4,36,"0.00 [0.00, 0.00]",41,"0.10 [0.00, 0.40]",486.5,0.67,6.48x10-3**
gpt5_breath_self_regulation,5,40,"0.00 [0.00, 0.00]",46,"0.00 [0.00, 0.20]",630,0.66,5.70x10-3**
gpt5_systems_policy_orientation,1,34,"0.00 [0.00, 0.00]",34,"0.00 [0.00, 0.00]",544,0.53,0.20
gpt5_systems_policy_orientation,2,34,"0.00 [0.00, 0.00]",40,"0.00 [0.00, 0.00]",692.5,0.51,0.78
gpt5_systems_policy_orientation,3,37,"0.00 [0.00, 0.00]",37,"0.00 [0.00, 0.00]",705,0.51,0.74
gpt5_systems_policy_orientation,4,36,"0.00 [0.00, 0.00]",41,"0.00 [0.00, 0.00]",721.5,0.51,0.70
gpt5_systems_policy_orientation,5,40,"0.00 [0.00, 0.00]",46,"0.00 [0.00, 0.00]",740,0.60,6.85x10-3**
gpt5_boundary_conscious_social_restraint,1,34,"0.00 [0.00, 0.20]",34,"0.00 [0.00, 0.00]",715,0.62,0.06+
gpt5_boundary_conscious_social_restraint,2,34,"0.20 [0.00, 0.67]",40,"0.00 [0.00, 0.00]","1,089.5",0.80,2.83x10-6***
gpt5_boundary_conscious_social_restraint,3,37,"0.40 [0.10, 0.70]",37,"0.00 [0.00, 0.10]","1,162",0.85,8.87x10-7***
gpt5_boundary_conscious_social_restraint,4,37,"0.00 [0.00, 0.30]",41,"0.00 [0.00, 0.00]",883,0.58,0.16
gpt5_boundary_conscious_social_restraint,5,40,"0.10 [0.04, 0.23]",46,"0.00 [0.00, 0.00]","1,469",0.80,8.87x10-7***
